Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,ADANIGREEN,EQ,166.45,169.35,174.75,168.1,174.75,174.75,173.41,5417952,93951247695000.0,35158,1451570,0.26789999999999997
2020-01-02,ADANIGREEN,EQ,174.75,179.15,183.45,177.55,183.45,183.45,181.19,3087009,55932363704999.99,23173,1096256,0.35509999999999997
2020-01-03,ADANIGREEN,EQ,183.45,187.8,192.6,183.0,192.6,192.6,190.64,3670040,69964323390000.0,23947,924520,0.2519
2020-01-06,ADANIGREEN,EQ,192.6,200.0,202.2,185.55,202.2,200.6,197.8,9497209,187852020680000.0,73862,1902495,0.2003
2020-01-07,ADANIGREEN,EQ,200.6,208.0,210.6,203.0,210.6,210.6,209.46,2126797,44548046925000.0,15650,853105,0.4011
2020-01-08,ADANIGREEN,EQ,210.6,215.8,221.1,214.45,221.1,221.1,219.86,1181338,25973210395000.0,7085,573389,0.4854
2020-01-09,ADANIGREEN,EQ,221.1,232.15,232.15,232.15,232.15,232.15,232.15,273048,6338809320000.0,1276,273048,1.0
2020-01-10,ADANIGREEN,EQ,232.15,243.75,243.75,220.55,220.55,220.55,234.78,3337546,78357721715000.0,24049,1746735,0.5234000000000001
2020-01-13,ADANIGREEN,EQ,220.55,209.55,209.55,209.55,209.55,209.55,209.55,118786,2489160630000.0,1642,118786,1.0
2020-01-14,ADANIGREEN,EQ,209.55,199.1,199.1,199.1,199.1,199.1,199.1,80682,1606378620000.0,1425,80681,1.0
2020-01-15,ADANIGREEN,EQ,199.1,189.15,189.15,189.15,189.15,189.15,189.15,52323,989689544999.9999,1191,52323,1.0
2020-01-16,ADANIGREEN,EQ,189.15,179.7,179.7,179.7,179.7,179.7,179.7,60474,1086717780000.0001,2210,60464,0.9998
2020-01-17,ADANIGREEN,EQ,179.7,175.1,188.65,172.3,188.65,188.65,182.15,6703516,122107105980000.0,40912,2325592,0.3469
2020-01-20,ADANIGREEN,EQ,188.65,198.05,198.05,185.0,198.05,198.05,194.95,2840614,55378395020000.01,28053,1215463,0.4279
2020-01-21,ADANIGREEN,EQ,198.05,199.0,207.0,192.0,200.2,202.25,202.04,3506909,70853484835000.0,39015,1169586,0.3335
2020-01-22,ADANIGREEN,EQ,202.25,204.0,208.95,194.55,197.6,197.65,201.43,1754417,35338949365000.0,21152,665134,0.3791
2020-01-23,ADANIGREEN,EQ,197.65,199.2,199.9,190.0,191.55,192.2,193.32,1336193,25830766190000.0,17717,547532,0.4098
2020-01-24,ADANIGREEN,EQ,192.2,187.5,194.9,182.6,189.25,190.25,187.05,2518115,47101995885000.0,28679,797019,0.3165
2020-01-27,ADANIGREEN,EQ,190.25,189.0,194.1,186.5,190.7,190.75,191.97,881601,16924209535000.0,9913,379144,0.4301
2020-01-28,ADANIGREEN,EQ,190.75,191.5,196.5,186.1,189.95,187.65,190.82,957274,18266797490000.0,11900,391718,0.4092
2020-01-29,ADANIGREEN,EQ,187.65,188.0,191.0,185.05,186.05,186.3,186.72,631830,11797806500000.0,10351,306694,0.4854
2020-01-30,ADANIGREEN,EQ,186.3,186.9,187.9,177.65,180.6,180.45,180.7,1024133,18506019750000.0,13500,538599,0.5259
2020-01-31,ADANIGREEN,EQ,180.45,182.5,189.45,176.85,189.45,189.45,185.93,862006,16027260230000.002,10219,413449,0.4796
2020-02-01,ADANIGREEN,EQ,189.45,192.8,197.9,183.15,185.75,186.85,192.39,1631445,31387718575000.0,26276,662416,0.406
2020-02-03,ADANIGREEN,EQ,186.85,186.85,196.15,186.0,196.15,196.15,192.36,1171000,22525110735000.0,15053,613992,0.5243
2020-02-04,ADANIGREEN,EQ,196.15,201.9,205.95,190.1,198.2,198.0,199.47,3984199,79473719115000.0,57318,1277550,0.3207
2020-02-05,ADANIGREEN,EQ,198.0,196.0,203.8,190.8,192.4,193.25,195.82,1320812,25864788220000.0,19187,486174,0.36810000000000004
